,0
0,8.529
1,50.937
2,67.246
3,73.824
4,77.48
5,79.773
6,81.476
7,82.729
8,83.607
9,84.363
10,84.978
11,85.514
12,86.012
13,86.414
14,86.773
15,87.122
16,87.419
17,87.725
18,87.914
19,88.107
20,88.269
21,88.464
22,88.625
23,88.819
24,88.949
25,89.097
26,89.22
27,89.325
28,89.425
29,89.512
30,89.607
31,89.734
32,89.851
33,89.907
34,89.975
35,90.054
36,90.149
37,90.232
38,90.332
39,90.402
40,90.454
41,90.503
42,90.556
43,90.602
44,90.641
45,90.697
46,90.756
47,90.795
48,90.846
49,90.91
50,90.947
51,90.998
52,91.031
53,91.068
54,91.092
55,91.136
56,91.178
57,91.217
58,91.271
59,91.298
60,91.332
61,91.38
62,91.415
63,91.429
64,91.466
65,91.51
66,91.554
67,91.58
68,91.615
69,91.651
70,91.681
71,91.702
72,91.741
73,91.78
74,91.79
75,91.82
76,91.847
77,91.868
78,91.89
79,91.917
80,91.932
81,91.966
82,91.971
83,91.992
84,92.02
85,92.031
86,92.044
87,92.056
88,92.08
89,92.098
90,92.12
91,92.127
92,92.156
93,92.178
94,92.197
95,92.212
96,92.251
97,92.269
98,92.293
99,92.329
